cardid	name	type	faction	setcode	setname	no	rules	rarity	def	cost	strikecost	atk	dmgtype	health	all_classes	DeathKnight	Druid	Hunter	Mage	Paladin	Priest	Rogue	Shaman	Warlock	Warrior	instant	race	class	class2	subtype	subtype2	subtype3	subtype4	profession	profession2	block	image	reprinted	classdeck	version	artist	flavour	original	released
1	Nature Resistance Totem	Ability Ally	Neutral	WBR	Worldbreaker	99	<b>Ongoing:</b> When this card enters play, it deals 2 nature damage to target hero or ally. Other friendly heroes and allies have <b>Nature Resistance</b>. <i>(Prevent all nature ([Nature]) damage that would be dealt to them.);(Totems can't attack.)	u		3		0	Melee	1									x			Instant				Earth Totem (1)	Enhancement					5	nature_resistance_totem			0	Peter Lee		0	1
2	A Break in the Action	Ability	Neutral	FoO	Fires of Outland	101	Exhaust any number of ready heroes and allies in your party. Each of those characters heals 2 damage from itself.	u		3					All	x	x	x	x	x	x	x	x	x	x											1	a_break_in_the_action			0			0	1
3	A Final Sacrifice	Ability	Neutral	BoG	Blood Of Gladiators	78	Target hero or ally in your party has +3 ATK / +3 health this turn. At the start of the next turn, destroy it.	c		1															x	Instant										3	a_final_sacrifice			0	Alan Pollack		0	1
4	A Flawless Advance	Ability	Neutral	BoG	Blood Of Gladiators	79	<b>Ongoing:</b> When an ally with cost equal to the number of resources you control enters your party, put a a strength counter on A Flawless Advance.; Allies in your party have +1 ATK / +1 health for each strength counter.	r		3															x					Fury						3	a_flawless_advance			0	Paolo Parente		0	1
5	A Taste of Divinity	Ability	Neutral	FoH	Fields of Honor	50	Your hero deals 2 unpreventable holy damage to target ally. If that ally doesn't have fatal damage, put A Taste of Divinity into its owner's hand.	r		1											x									Holy						3	a_taste_of_divinity	Archive		97	Peter Mohrbacher		0	1
6	Absolute Poise	Ability	Neutral	DoW	Drums Of War	83	Interrupt target ability or equipment card.	u		3															x	Instant				Protection						3	absolute_poise			0	James Ryman	"When they have no tools with which to fight, they will concede to your great might." - Codex of Defense	0	1
7	Absorb Magic	Ability	Neutral	MoL	March of the Legion	67	Destroy target ability. If you do, your hero heals damage from itself equal to that ability's cost.	c		2											x					Instant				Discipline						2	absorb_magic			0	Jim Nelson		0	1
8	Adrenaline Rush	Ability	Neutral	MoL	March of the Legion	79	<b>Combat Hero Required</b>; Ready all of your resources. Draw cards until you reach your maximum hand size. At end of turn, discard your hand.	r		7												x								Combat	Talent					5	adrenaline_rush	Class Starter Deck 2011 (Spring),Archive	CD2	97	Ron Spencer	"Let'sget'em! Whatarewewaitingfor? Gogogo!"	0	1
9	Aftermath	Ability	Neutral	HfI	Hunt For Illidan	95	<b>Destruction Hero Required</b>; <b>Ongoing:</b> When you play an ability, you may exhaust target hero or ally.	r		2														x		Instant				Destruction						2	aftermath			0	Tom Baxa	"I'll deal with you in a moment."	0	1
10	Aggressive Exploitation	Ability	Neutral	WBR	Worldbreaker	83	Your hero deals 4 melee damage to target exhausted hero or ally.	c		2												x								Assassination						5	aggressive_exploitation	Class Starter Deck 2011 (Spring)	CD2	97	Luca Zontini	"Dud you really expect me to fight fair?" - Vorix Zorbuzz	0	1
